from_path,to_path,status_code
/upcp_product/baseboard-ornamental-5-inch-bas5e9/,/products/trim-mouldings/baseboard-ornamental-5-inch-bas5e9/,301
/mouldings/product/baseboard-ornamental-5-inch-bas5e9/,/products/trim-mouldings/baseboard-ornamental-5-inch-bas5e9/,301
/interior-doors/product/baseboard-ornamental-5-inch-bas5e9/,/products/trim-mouldings/baseboard-ornamental-5-inch-bas5e9/,301
/doors/product/baseboard-ornamental-5-inch-bas5e9/,/products/trim-mouldings/baseboard-ornamental-5-inch-bas5e9/,301
/upcp_product/baseboard-modern-transitional-5-inch-bas5m7/,/products/trim-mouldings/baseboard-modern-transitional-5-inch-bas5m7/,301
/mouldings/product/baseboard-modern-transitional-5-inch-bas5m7/,/products/trim-mouldings/baseboard-modern-transitional-5-inch-bas5m7/,301
/interior-doors/product/baseboard-modern-transitional-5-inch-bas5m7/,/products/trim-mouldings/baseboard-modern-transitional-5-inch-bas5m7/,301
/doors/product/baseboard-modern-transitional-5-inch-bas5m7/,/products/trim-mouldings/baseboard-modern-transitional-5-inch-bas5m7/,301
/upcp_product/baseboard-ogee-5-inch-bas5y0/,/products/trim-mouldings/baseboard-ogee-5-inch-bas5y0/,301
/mouldings/product/baseboard-ogee-5-inch-bas5y0/,/products/trim-mouldings/baseboard-ogee-5-inch-bas5y0/,301
/interior-doors/product/baseboard-ogee-5-inch-bas5y0/,/products/trim-mouldings/baseboard-ogee-5-inch-bas5y0/,301
/doors/product/baseboard-ogee-5-inch-bas5y0/,/products/trim-mouldings/baseboard-ogee-5-inch-bas5y0/,301
/upcp_product/baseboard-regal-7-inch-bas7a1/,/products/trim-mouldings/baseboard-regal-7-inch-bas7a1/,301
/mouldings/product/baseboard-regal-7-inch-bas7a1/,/products/trim-mouldings/baseboard-regal-7-inch-bas7a1/,301
/interior-doors/product/baseboard-regal-7-inch-bas7a1/,/products/trim-mouldings/baseboard-regal-7-inch-bas7a1/,301
/doors/product/baseboard-regal-7-inch-bas7a1/,/products/trim-mouldings/baseboard-regal-7-inch-bas7a1/,301
/upcp_product/baseboard-modern-transitional-7-inch-bas7a7/,/products/trim-mouldings/baseboard-modern-transitional-7-inch-bas7a7/,301
/mouldings/product/baseboard-modern-transitional-7-inch-bas7a7/,/products/trim-mouldings/baseboard-modern-transitional-7-inch-bas7a7/,301
/interior-doors/product/baseboard-modern-transitional-7-inch-bas7a7/,/products/trim-mouldings/baseboard-modern-transitional-7-inch-bas7a7/,301
/doors/product/baseboard-modern-transitional-7-inch-bas7a7/,/products/trim-mouldings/baseboard-modern-transitional-7-inch-bas7a7/,301
/upcp_product/baseboard-ogee-7-inch-bas7k2/,/products/trim-mouldings/baseboard-ogee-7-inch-bas7k2/,301
/mouldings/product/baseboard-ogee-7-inch-bas7k2/,/products/trim-mouldings/baseboard-ogee-7-inch-bas7k2/,301
/interior-doors/product/baseboard-ogee-7-inch-bas7k2/,/products/trim-mouldings/baseboard-ogee-7-inch-bas7k2/,301
/doors/product/baseboard-ogee-7-inch-bas7k2/,/products/trim-mouldings/baseboard-ogee-7-inch-bas7k2/,301
/upcp_product/baseboard-modern-7-inch-bas7k3/,/products/trim-mouldings/baseboard-modern-7-inch-bas7k3/,301
/mouldings/product/baseboard-modern-7-inch-bas7k3/,/products/trim-mouldings/baseboard-modern-7-inch-bas7k3/,301
/interior-doors/product/baseboard-modern-7-inch-bas7k3/,/products/trim-mouldings/baseboard-modern-7-inch-bas7k3/,301
/doors/product/baseboard-modern-7-inch-bas7k3/,/products/trim-mouldings/baseboard-modern-7-inch-bas7k3/,301
/upcp_product/baseboard-plain-7-inch-bas7t2/,/products/trim-mouldings/baseboard-plain-7-inch-bas7t2/,301
/mouldings/product/baseboard-plain-7-inch-bas7t2/,/products/trim-mouldings/baseboard-plain-7-inch-bas7t2/,301
/interior-doors/product/baseboard-plain-7-inch-bas7t2/,/products/trim-mouldings/baseboard-plain-7-inch-bas7t2/,301
/doors/product/baseboard-plain-7-inch-bas7t2/,/products/trim-mouldings/baseboard-plain-7-inch-bas7t2/,301
/upcp_product/basecap-moulding-bas100/,/products/trim-mouldings/basecap-moulding-bas100/,301
/mouldings/product/basecap-moulding-bas100/,/products/trim-mouldings/basecap-moulding-bas100/,301
/interior-doors/product/basecap-moulding-bas100/,/products/trim-mouldings/basecap-moulding-bas100/,301
/doors/product/basecap-moulding-bas100/,/products/trim-mouldings/basecap-moulding-bas100/,301
/upcp_product/basecap-moulding-bas100__trashed/,/products/trim-mouldings/basecap-moulding-bas100/,301
/mouldings/product/basecap-moulding-bas100__trashed/,/products/trim-mouldings/basecap-moulding-bas100/,301
/interior-doors/product/basecap-moulding-bas100__trashed/,/products/trim-mouldings/basecap-moulding-bas100/,301
/doors/product/basecap-moulding-bas100__trashed/,/products/trim-mouldings/basecap-moulding-bas100/,301
/upcp_product/baseboard-colonial-3-inch-bas300/,/products/trim-mouldings/baseboard-colonial-3-inch-bas300/,301
/mouldings/product/baseboard-colonial-3-inch-bas300/,/products/trim-mouldings/baseboard-colonial-3-inch-bas300/,301
/interior-doors/product/baseboard-colonial-3-inch-bas300/,/products/trim-mouldings/baseboard-colonial-3-inch-bas300/,301
/doors/product/baseboard-colonial-3-inch-bas300/,/products/trim-mouldings/baseboard-colonial-3-inch-bas300/,301
/upcp_product/baseboard-thin-flat-plain-3-inch-bas301/,/products/trim-mouldings/baseboard-thin-flat-plain-3-inch-bas301/,301
/mouldings/product/baseboard-thin-flat-plain-3-inch-bas301/,/products/trim-mouldings/baseboard-thin-flat-plain-3-inch-bas301/,301
/interior-doors/product/baseboard-thin-flat-plain-3-inch-bas301/,/products/trim-mouldings/baseboard-thin-flat-plain-3-inch-bas301/,301
/doors/product/baseboard-thin-flat-plain-3-inch-bas301/,/products/trim-mouldings/baseboard-thin-flat-plain-3-inch-bas301/,301
/upcp_product/baseboard-two-step-3-inch-bas306/,/products/trim-mouldings/baseboard-two-step-3-inch-bas306/,301
/mouldings/product/baseboard-two-step-3-inch-bas306/,/products/trim-mouldings/baseboard-two-step-3-inch-bas306/,301
/interior-doors/product/baseboard-two-step-3-inch-bas306/,/products/trim-mouldings/baseboard-two-step-3-inch-bas306/,301
/doors/product/baseboard-two-step-3-inch-bas306/,/products/trim-mouldings/baseboard-two-step-3-inch-bas306/,301
/upcp_product/baseboard-colonial-4-inch-bas400/,/products/trim-mouldings/baseboard-colonial-4-inch-bas400/,301
/mouldings/product/baseboard-colonial-4-inch-bas400/,/products/trim-mouldings/baseboard-colonial-4-inch-bas400/,301
/interior-doors/product/baseboard-colonial-4-inch-bas400/,/products/trim-mouldings/baseboard-colonial-4-inch-bas400/,301
/doors/product/baseboard-colonial-4-inch-bas400/,/products/trim-mouldings/baseboard-colonial-4-inch-bas400/,301
/upcp_product/baseboard-contemporary-4-inch-bas405/,/products/trim-mouldings/baseboard-contemporary-4-inch-bas405/,301
/mouldings/product/baseboard-contemporary-4-inch-bas405/,/products/trim-mouldings/baseboard-contemporary-4-inch-bas405/,301
/interior-doors/product/baseboard-contemporary-4-inch-bas405/,/products/trim-mouldings/baseboard-contemporary-4-inch-bas405/,301
/doors/product/baseboard-contemporary-4-inch-bas405/,/products/trim-mouldings/baseboard-contemporary-4-inch-bas405/,301
/upcp_product/baseboard-plain-flat-4-inch-bas411/,/products/trim-mouldings/baseboard-plain-flat-4-inch-bas411/,301
/mouldings/product/baseboard-plain-flat-4-inch-bas411/,/products/trim-mouldings/baseboard-plain-flat-4-inch-bas411/,301
/interior-doors/product/baseboard-plain-flat-4-inch-bas411/,/products/trim-mouldings/baseboard-plain-flat-4-inch-bas411/,301
/doors/product/baseboard-plain-flat-4-inch-bas411/,/products/trim-mouldings/baseboard-plain-flat-4-inch-bas411/,301
/upcp_product/baseboard-2-step-4-inch-bas412/,/products/trim-mouldings/baseboard-2-step-4-inch-bas412/,301
/mouldings/product/baseboard-2-step-4-inch-bas412/,/products/trim-mouldings/baseboard-2-step-4-inch-bas412/,301
/interior-doors/product/baseboard-2-step-4-inch-bas412/,/products/trim-mouldings/baseboard-2-step-4-inch-bas412/,301
/doors/product/baseboard-2-step-4-inch-bas412/,/products/trim-mouldings/baseboard-2-step-4-inch-bas412/,301
